icao_code,iata_code,name,city,country_code
PPIT,NUP,Nunapitchuk Airport,Nunapitchuk,US
PAKA,TEK,Tatitlek Airport,Tatitlek,US
PACH,CHU,Chuathbaluk Airport,Chuathbaluk,US
HCAD,AAD,Adado Airport,Adado,SO
OEBT,,Batha Airport,Batha,SA
OMQF,,Al Qaffay Airport,Al Qaffay,AE
OMAY,,Lower Yasat Island Airport,Al-Yasat,AE
OMLW,,Liwa Air Base,Zayed City,AE
OMNK,,Sas Al Nakheel Air Base,Sas Al Nakheel,AE
OAAK,,Andkhoy Airport,Andkhoy,AF
OALG,,Logar Airport,Logar Airport,AF
OAMK,,Muqur Airport,Muqur,AF
OAPJ,,Panjab Airport,Panjab,AF
OATW,,Taywarah Airport,Taywarah,AF
TAPB,BBQ,Burton-Nibbs International Airport,Codrington,AG
AGAF,AFT,Afutara Aerodrome,Bila,SB
AGAR,RNA,Ulawa Airport,Arona,SB
AGAT,ATD,Uru Harbour Airport,Atoifi,SB
AGBA,VEV,Barakoma Airport,Barakoma,SB
AGBT,BPF,Batuna Aerodrome,Batuna Mission Station,SB
AGEV,GEF,Geva Airport,Liangia,SB
AGGA,AKS,Gwaunaru'u Airport,Auki,SB
AGGB,BNY,Bellona/Anua Airport,Anua,SB
AGGC,CHY,Choiseul Bay Airport,Choiseul Bay,SB
AGGE,BAS,Ballalae Airport,Ballalae,SB
AGGF,FRE,Fera/Maringe Airport,Fera Island,SB
AGGH,HIR,Honiara International Airport,Honiara,SB
AGGI,MBU,Babanakira Airport,Mbambanakira,SB
AGGJ,AVU,Avu Avu Airport,Avu Avu,SB
AGGK,IRA,Ngorangora Airport,Kirakira,SB
AGGL,SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,SB
AGGM,MUA,Munda Airport,Munda,SB
AGGN,GZO,Nusatupe Airport,Gizo,SB
AGGO,MNY,Mono Airport,Stirling Island,SB
AGGP,PRS,Parasi Airport,Parasi,SB
AGGR,RNL,Rennell/Tingoa Airport,Rennell Island,SB
AGGS,EGM,Sege Airport,Sege,SB
AGGT,NNB,Santa Ana Airport,Santa Ana Island,SB
AGGU,RUS,Marau Airport,Marau,SB
AGGV,VAO,Suavanao Airport,Suavanao,SB
AGGY,XYA,Yandina Airport,Yandina,SB
AGKG,KGE,Kaghau Airport,Kagau Island,SB
AGKU,KUE,Kukudu Airport,Kolombangara Island,SB
AGKW,KWS,Kwailabesi Airport,Kwailabesi,SB
AGLM,LLM,Lomlom Airport,Lomlom,SB
AGNA,NAZ,Nana Airport,Star Harbor,SB
AGOB,MHM,Manaoba Airport,Manaoba,SB
AGOK,GTA,Gatokae Aerodrome,Gatokae,SB
AGRC,RIN,Ringi Cove Airport,Ringi Cove,SB
AGRM,RBV,Ramata Airport,Ramata,SB
UDCK,YUK,Syunik Airport,Kapan,AM
FMMB,AMY,Ambatomainty Airport,Ambatomainty Airport,MG
ANYN,INU,Nauru International Airport,Yaren,NR
FNLM,,Lumbala Airstrip,Lumbala,AO
FNNL,,Huambo Airport,Huambo,AO
SACT,,Chamical Airport,Gobernador Gordillo,AR
YLTT,LYT,Lady Elliot Island Airstrip,Lady Elliot Island,AU
YFGS,,Frogs Hollow Airfield,Tathra,AU
YSKR,,Skardon River Airport,Mapoon,AU
YGRM,GYZ,Gruyere Airport,Cosmo Newbery,AU
YPAS,,Packsaddle Airport,Packsaddle,AU
YSWS,WSI,Western Sydney International (Nancy-Bird Walton) Airport,Sydney,AU
YMRO,,Moora Airport,Moora,AU
YCRN,,Cranbourn Airfield,Mount Direction,AU
YOKH,,Oakden Hills Airport,Oakden Hills,AU
YWIR,,Wirraminna Airport,Wirraminna,AU
YJBO,,JDandBoo,Boisdale,AU
YWSN,,Woodstock Station,Woodstock Station,AU
YNKR,,Nackeroo Airfield,Nackeroo Airfield,AU
YFBR,,Fairey Bower Airfield,Coonamble,AU
YKBS,KBD,Kimberley Downs Airport,Kimberley Downs,AU
ZBAL,AXF,Alxa Left Banner Bayanhot Airport,Bayanhot,CN
AYAA,AMF,Ama Airport,Ama Airport,PG
AYAE,UAE,Mount Aue Airport,Aue,PG
AYAF,AFR,Afore Airstrip,Afore,PG
AYAG,AUP,Agaun Airport,Agaun,PG
AYAI,ATP,Aitape Airport,Aitape,PG
AYAK,AIH,Aiambak Airport,Aiambak,PG
AYAM,AMU,Amanab Airport,Amanab,PG
AYAN,ADC,Andakombe Airport,Andekombe,PG
AYAO,AIE,Aiome Airport,Aiome,PG
AYAQ,KPM,Kompiam Airport,Kompiam Airport,PG
AYAT,AUJ,Ambunti Airport,Ambunti,PG
AYAU,,Arou Airstrip,Arou,PG
AYAW,AWB,Awaba Airport,Awaba,PG
AYAX,AEK,Aseki Airport,Aseki,PG
AYAY,AYU,Aiyura Airport,Aiyura Valley,PG
AYBA,VMU,Baimuru Airport,Baimuru,PG
AYBC,BCP,Bambu Airport,Bambu,PG
AYBD,BNM,Bodinumu Airport,Bodinumu,PG
AYBF,BMZ,Bamu Airport,Bamu,PG
AYBG,BDZ,Baindoung Airport,Baindoung Airport,PG
AYBH,BSP,Bensbach Airport,Bensbach,PG
AYBI,BWP,Bewani Airport,Bewani,PG
AYBK,BUA,Buka Airport,Buka Island,PG
AYBL,BAA,Bialla Airport,"Bialla, Matalilu, Ewase",PG
AYBM,OPU,Balimo Airport,Balimo,PG
AYBO,BMH,Bomai Airport,Bomai,PG
AYBP,BPD,Bapi Airstrip,Bapi,PG
AYBQ,BPK,Biangabip Airport,Biangabip,PG
AYBR,BRP,Biaru Airport,Biaru,PG
AYBS,,Begesin Airstrip,Begesin,PG
AYBT,,Batri Airstrip,Batri,PG
AYBU,BUL,Bulolo Airport,Bulolo,PG
AYBY,,Wuyabo Airstrip,Wuyabo,PG
AYBZ,XBN,Biniguni Airport,Biniguni,PG
AYCB,CVB,Chungribu Airport,Chungribu,PG
AYCG,CGC,Cape Gloucester Airport,Cape Gloucester,PG
AYCH,CMU,Chimbu Airport,Kundiawa,PG
AYCN,,Changriwa Airstrip,Changriwa,PG
AYCS,SQT,China Strait Airstrip,Samarai Island,PG
AYDB,DBP,Debepare Airport,Debepare,PG
AYDD,,Dobu Airstrip,Dobu,PG
AYDE,DER,Derim Airport,Derim,PG
AYDI,BNT,Bundi Airport,Bundi,PG
AYDK,MDM,Munduku Airport,Munduku,PG
AYDL,KPF,Kondobol Airport,Kondobol,PG
AYDN,DNU,Dinangat Airport,Dinangat,PG
AYDO,DOI,Doini Airport,Castori Islets,PG
AYDP,,Tsendiap Airstrip,Tsendiap,PG
AYDQ,,Dimisisi Airstrip,Dimisisi,PG
AYDR,DOO,Dorobisoro Airport,Dorobisoro,PG
AYDS,,Dusin Airport,Dusin,PG
AYDU,DAU,Daru Airport,Daru,PG
AYDW,,Dewara Airstrip,Dewara,PG
AYDY,,Sindeni Airstrip,Sindeni,PG
AYEA,KRU,Kerau Airport,Gunim,PG
AYEB,EMS,Embessa Airport,Embessa,PG
AYED,XYR,Edwaki Airport,Yellow River Mission,PG
AYEE,EMI,Emirau Airport,Emirau Island,PG
AYEF,EFG,Efogi Airport,Efogi,PG
AYEG,,Mengina Airstrip,Mengina,PG
AYEH,MHY,Morehead Airport,Morehead,PG
AYEI,,Milei Airstrip,Milei,PG
AYEK,,Membok Airstrip,Membok,PG
AYEL,EPT,Eliptamin Airport,Eliptamin,PG
AYEM,,Eleme Airstrip,Eleme,PG
AYEN,EGA,Engati Airstrip,Engati,PG
AYEO,EMO,Emo River Airstrip,Emo Mission,PG
AYER,ERU,Erume Airport,Erume,PG
AYES,MFZ,Meselia Airport,Demgulu,PG
AYET,BOT,Bosset Airport,Bosset,PG
AYEU,,Eloaua Airstrip,Eloaua Island,PG
AYEV,ERE,Erave Airport,Erave,PG
AYEW,SWE,Siwea Airport,Siwea,PG
AYFA,FNE,Fane Airport,Fane Mission,PG
AYFF,,Faia Airport,Faia Airport,PG
AYFI,FIN,Finschhafen Airport,Buki,PG
AYFR,FAQ,Frieda River Airport,Frieda River,PG
AYFU,FUM,Fuma Airport,Fuma,PG
AYGA,GKA,Goroka Airport,Goronka,PG
AYGC,GEW,Gewoia Airport,Gewoia,PG
AYGF,GUG,Guari Airport,Guari,PG
AYGG,GRL,Garasa Airport,Au,PG
AYGI,GAR,Garaina Airport,Garaina,PG
AYGJ,GAZ,Guasopa Airport,Woodlark (Muyua) Island,PG
AYGL,GOE,Gonaili Airport,Gonaili,PG
AYGN,GUR,Gurney Airport,Gurney,PG
AYGP,GAP,Gusap Airport,Gusap,PG
AYGR,PNP,Girua Airport,Popondetta,PG
AYGS,GBC,Gasuke Airport,Gasuke,PG
AYGT,GMI,Gasmata Island Airport,Gasmata Island,PG
AYGU,AKG,Anguganak Airport,Anguganak,PG
AYGV,GVI,Green River Airport,Green River,PG
AYGX,GOC,Gora Airstrip,Gora,PG
AYHB,HBD,Habi Airport,Habi,PG
AYHE,HNI,Heiweni Airport,Heiweni,PG
AYHF,HYF,Hayfields Airport,Bainyik,PG
AYHH,HNN,Honinabi Airport,Honinabi,PG
AYHK,HKN,Hoskins Airport,Kimbe,PG
AYHO,HIT,Haivaro Airport,Haivaro,PG
AYHU,HWA,Hawabango Airport,Hawabango,PG
AYIA,IIS,Nissan Island Airport,Nissan Island,PG
AYID,IDN,Indagen Airport,Indagen,PG
AYII,IMN,Imane Airport,Imane,PG
AYIM,KGM,Kungim Airport,Kungim,PG
AYIO,IMD,Imonda Airport,Imonda,PG
AYIQ,KIE,Aropa Airport,Kieta,PG
AYIW,WSA,Wasua Airport,Wasua,PG
AYIX,WIU,Witu Airport,Garove Island,PG
AYIY,MPX,Miyanmin Airport,Miyanmin,PG
AYJO,KGH,Yongai Airport,Yongai,PG
AYJS,JOP,Josephstaal Airport,Josephstaal,PG
AYKA,LSA,Losuia Airport,Losuia,PG
AYKB,KBM,Kabwum,Kabwum,PG
AYKC,KDR,Kandrian Airport,Kandrian,PG
AYKD,KMF,Kamina Airport,Hoieti,PG
AYKG,KPA,Kopiago Airport,Kopiago,PG
AYKH,KAQ,Kamulai Airport,Kamulai Mission,PG
AYKI,UNG,Kiunga Airport,Kiunga,PG
AYKJ,KNE,Kanainj Airport,Kanainj,PG
AYKK,KRI,Kikori Airport,Kikori,PG
AYKM,KMA,Kerema Airport,Kerema,PG
AYKO,KKD,Kokoda Airport,Kokoda,PG
AYKQ,KGW,Kagi Airport,Kagi,PG
AYKR,KRX,Kar Kar Airport,Kar Kar Island,PG
AYKT,KZF,Kaintiba Airport,Kaintiba,PG
AYKU,KUQ,Kuri Airport,Kuri,PG
AYKV,KVG,Kavieng Airport,Kavieng,PG
AYKW,KWO,Kawito Airport,Kawito,PG
AYKY,LNV,Londolovit Airport,Londolovit,PG
AYKZ,,Kairiru Airstrip,Kairiru Island,PG
AYLB,LAB,Lab Lab Airport,Lab Lab Mission,PG
AYLG,KEG,Keglsugl Airport,Denglagu Mission,PG
AYLI,KII,Kibuli Airstrip,Kibuli,PG
AYLL,LGN,Linga Linga Airport,Linga Linga,PG
AYLN,LNM,Langimar Airport,Langimar Airport,PG
AYLO,LWI,Lowai Airport,Lowai,PG
AYLP,LPN,Leron Plains Airport,Leron Plains,PG
AYLS,LNG,Lese Airport,Lese,PG
AYLT,LNC,Lengbati Airport,Lengbati Airport,PG
AYLU,LMI,Lumi Airport,Lumi,PG
AYLX,LSJ,Long Island Airport,Long Island,PG
AYMA,MRM,Manari Airport,Manari,PG
AYMB,OBM,Morobe Airport,Morobe,PG
AYMC,MYX,Menyamya Airport,Menyamya,PG
AYMD,MAG,Madang Airport,Madang,PG
AYMH,HGU,Mount Hagen Kagamuga Airport,Mount Hagen,PG
AYMI,MXK,Mindik Airport,Mindik,PG
AYMJ,MPG,Makini Airport,Makini,PG
AYML,GUV,Mougulu Airport,Mougulu,PG
AYMN,MDU,Mendi Airport,Mendi,PG
AYMO,MAS,Momote Airport,Manus Island,PG
AYMP,MLQ,Malalaua Airport,Malalaua,PG
AYMQ,MQO,Malam Airport,Malam,PG
AYMR,MXH,Moro Airport,Moro,PG
AYMS,MIS,Misima Island Airport,Misima Island,PG
AYMV,MKN,Malekolon Airport,Babase Island,PG
AYMW,MWG,Marawaka Airport,Marawaka,PG
AYMZ,MPU,Mapua(Mabua) Airport,Tatau Island,PG
AYNA,NKN,Nankina Airport,Gwarawon,PG
AYNB,KEX,Kanabea Airport,Kanabea,PG
AYNC,NDN,Nadunumu Airport,Nadunumu,PG
AYND,AUI,Aua Island Airport,Aua Island,PG
AYNE,GBF,Negarbo(Negabo) Airport,Negarbo,PG
AYNI,NUG,Nuguria Airstrip,Nuguria Island,PG
AYNJ,NDI,Namudi Airport,Namudi,PG
AYNM,KSB,Kasonombe Airport,Kasonombe,PG
AYNN,KDP,Kandep Airport,Kandep,PG
AYNO,NMN,Nomane Airport,Namane,PG
AYNS,BXZ,Bunsil Airport,Bunsil - Umboi Island,PG
AYNU,UKU,Nuku Airport,Nuku,PG
AYNX,ATN,Namatanai Airport,Namatanai,PG
AYNY,NBA,Nambaiyufa Airport,Nambaiyufa,PG
AYNZ,LAE,Nadzab Tomodachi International Airport,Lae,PG
AYOB,OBX,Obo Airport,Obo,PG
AYOE,KGB,Konge Airport,Konge,PG
AYOF,OKV,Okao Airport,Okao,PG
AYOG,OGE,Ogeranang Airport,Ogeranang Airport,PG
AYOJ,OKP,Oksapmin Airport,Oksapmin,PG
AYOK,HOC,Komako Airport,Komako,PG
AYOL,KQL,Kol Airport,Kol,PG
AYOM,OSE,Omora Airport,Omora,PG
AYOO,KOM,Komo-Manda Airport,Komo,PG
AYOP,KSP,Kosipe Airport,Kosipe Mission,PG
AYOQ,KCJ,Komaio Airport,Komaio,PG
AYOV,OLQ,Olsobip Airport,Olsobip,PG
AYOW,KDE,Koroba Airport,Koroba,PG
AYPB,PLE,Paiela Airport,Paiela,PG
AYPC,PGB,Pangoa Airport,Pangoa,PG
AYPD,PDI,Pindiu Airport,Pindiu,PG
AYPE,APR,April River Airport,April River,PG
AYPG,PGN,Pangia Airport,Pangia,PG
AYPJ,PMP,Pimaga Airport,Pimaga,PG
AYPO,MPF,Mapoda Airport,Mapoda,PG
AYPQ,PMN,Pumani Airport,Pumani,PG
AYPY,POM,Port Moresby Jacksons International Airport,Port Moresby,PG
AYQA,KRJ,Karawari Airstrip,Amboin,PG
AYQL,TLP,Tumolbil Airport,Tumolbil,PG
AYQO,SPH,Sopu Airport,Sopu,PG
AYQQ,ONB,Ononge Airport,Onange Mission,PG
AYQS,SXA,Sialum Airport,Sialum,PG
AYRA,KIQ,Kira Airport,Kira,PG
AYRE,RBP,Raba Raba Airport,Rabaraba,PG
AYRG,RMN,Rumginae Airport,Rumginae Airport,PG
AYRI,KMR,Karimui Airport,Karimui,PG
AYRK,RKU,Kairuku Airport,Yule Island,PG
AYRM,MWI,Maramuni Airport,Maramuni,PG
AYRO,KOR,Kakoro(Koroko) Airstrip,Kakoro,PG
AYSA,SBE,Suabi Airport,Suabi Airport,PG
AYSD,SDI,Saidor Airport,Saidor,PG
AYSE,NIS,Simberi Airport,Simberi Island,PG
AYSF,SFU,Safia Airport,Safia,PG
AYSG,SIL,Sila Airport,Sila Mission,PG
AYSH,SBV,Sabah Airport,Sabah,PG
AYSJ,SIM,Simbai Airport,Simbai,PG
AYSK,SGK,Sengapi Airstrip,Sengapi,PG
AYSL,SXH,Sehulea Airport,Sehulea,PG
AYSO,SBC,Selbang Airport,Selbang,PG
AYSP,SMH,Sapmanga Airport,Sapmanga,PG
AYSS,TDS,Sasereme Airport,Sasereme,PG
AYSU,SKC,Suki Airport,Suki,PG
AYSV,SXW,Sauren Airport,Sauren,PG
AYSW,SWG,Satwag Airport,Satwag,PG
AYSX,MBV,Masa Airport,Masa,PG
AYTA,TIZ,Tari Airport,Tari,PG
AYTB,TBG,Tabubil Airport,Tabubil,PG
AYTE,TFM,Telefomin Airport,Telefomin,PG
AYTF,TDB,Tetebedi Airport,Tetebedi,PG
AYTG,TGL,Tagula Airport,Sudest Island,PG
AYTH,TFB,Tifalmin Airport,Tifalmin,PG
AYTI,TPI,Tapini Airport,Tapini,PG
AYTK,RAB,Tokua Airport,Kokopo,PG
AYTN,TKW,Tekin Airport,Tekin,PG
AYTO,KDQ,Kamberatoro Airport,Kamberatoro Mission,PG
AYTP,TEP,Tep Tep Airport,Teptep,PG
AYTR,TBQ,Tarabo Airport,Tarabo,PG
AYTS,TSW,Tsewi Airport,Tsewi,PG
AYTT,TRJ,Tarakbits Airport,Tarakbits,PG
AYTU,TFI,Tufi Airport,Tufi,PG
AYTV,TBE,Timbunke Airport,Timbunke,PG
AYTW,TWY,Tawa Airport,Tawa,PG
AYTY,TEO,Terapo Airport,Terapo Mission,PG
AYTZ,TKB,Tekadu Airport,Tekadu,PG
AYUC,UMC,Umba Airport,Umba,PG
AYUE,URU,Uroubi Airport,Uroubi,PG
AYUI,UBI,Buin Airport,Buin,PG
AYUM,AUV,Aumo Airport,Aumo,PG
AYUP,GLP,Gulgubip Airport,Gulgubip,PG
AYUR,UPR,Upiara Airport,Upiara,PG
AYUY,KUX,Kuyol Airport,Kuyol Airport,PG
AYUZ,UVO,Uvol Airport,Uvol,PG
AYVL,TLW,Talasea Airport,Talasea,PG
AYVM,TCJ,Torembi Airport,Torembi,PG
AYVN,VAI,Vanimo Airport,Vanimo,PG
AYVO,TON,Tonu Airport,Tonu,PG
AYVW,WUV,Wuvulu Island Airport,Wuvulu Island,PG
AYWB,WAO,Wabo Airport,Wabo,PG
AYWC,WTT,Wantoat Airport,Wantoat,PG
AYWD,WBM,Wapenamanda Airport,Wapenamanda,PG
AYWF,WAJ,Wawoi Falls Airport,Wavoi Falls,PG
AYWG,AGL,Wanigela Airport,Wanigela,PG
AYWH,WNU,Wanuma Airport,Wanuma,PG
AYWJ,WBC,Wapolu Airport,Wapolu,PG
AYWK,WWK,Wewak International Airport,Wewak,PG
AYWO,WOA,Wonenara Airport,Wonenara,PG
AYWQ,WKN,Wakunai Airport,Wakunai,PG
AYWS,WSU,Wasu Airport,Wasu,PG
AYWT,WTP,Woitape Airport,Fatima Mission,PG
AYWU,WUG,Wau Airport,Wau,PG
AYWV,,Warasai Airstrip,Warasai,PG
AYXE,YVD,Yeva Airport,Yeva,PG
AYXI,SMJ,Sim Airport,Sim,PG
AYXO,TLO,Tol Airport,Tol,PG
AYXP,WPM,Wipim Airport,Wipim,PG
AYXW,WEP,Weam Airport,Weam,PG
AYYE,KYX,Yalumet Airport,Yalumet,PG
AYYK,YEQ,Yenkis(Yankisa) Airport,Yenkis(Yankisa) Airport,PG
AYYL,TCK,Tinboli Airport,Tinboli,PG
AYYM,LNF,Munbil Airport,Munbil Airport,PG
AYYO,RAX,Oram Airport,Oram Airport,PG
AYYP,KPE,Yapsiei Airport,Yapsiei Airport,PG
AYYR,KSX,Yasuru Airport,Yasuru,PG
AYZA,ZEN,Zenag Airport,Zenag,PG
AYZI,SWR,Silur Airport,Silur Mission,PG
AYZN,SIZ,Sissano Airport,Sissano,PG
AYZS,OSG,Ossima Airport,Ossima,PG
UBTT,ZXT,Zabrat Airport,Zabrat,AZ
UBBH,,Khachmaz Airport,Khachmaz,AZ
UBEI,,Shaki Airport,Shaki,AZ
UBEN,,Naftalan Airport,Naftalan,AZ
UBEY,,Agjabedi Airport,Agjabedi,AZ
UBLL,,Güzdək Military Airport,Lökbatan,AZ
UBBM,,Hajigabul Kazı Magomed Airport,Hajigabul,AZ
LQCG,,Ciljuge Sport Airfield,Bašigovci,BA
LQBZ,,Banja Luka Zalužani Airfield,Zalužani,BA
EBLB,,Elsenborn Air Base,Bütgenbach,BE
LBDM,,Dve Mogili Airfield,Dve Mogili,BG
LBBB,,Belchinski Bani Airstrip,Belchinski Bani,BG
LBBL,,Blagoevo Airfield,Blagoevo,BG
LBSE,,Staro Selishte Airfield,Isperih,BG
LBDR,,Draganovtsi Airfield,Draganovtsi,BG
LBBR,,Breznik Airfield,Pernik,BG
LBSA,,Slivnitsa Airfield,Slivnitsa,BG
LBSP,,Sapareva Banya Airport,Sapareva Banya,BG
BGAA,JEG,Aasiaat Airport,Aasiaat,GL
BGCO,CNP,Neerlerit Inaat Airport,Neerlerit Inaat,GL
BGGH,GOH,Nuuk International Airport,Nuuk,GL
BGJN,JAV,Ilulissat Airport,Ilulissat,GL
BGKK,KUS,Kulusuk Airport,Kulusuk,GL
BGMQ,JSU,Maniitsoq Airport,Maniitsoq,GL
BGPT,JFR,Paamiut Airport,Paamiut,GL
BGQQ,NAQ,Qaanaaq Airport,Qaanaaq,GL
BGSF,SFJ,Kangerlussuaq International Airport,Kangerlussuaq,GL
BGSS,JHS,Sisimiut Airport,Sisimiut,GL
BGTL,THU,Pituffik Space Base,Pituffik,GL
BGUK,JUV,Upernavik Airport,Upernavik,GL
BGUQ,JQA,Qaarsut Airport,Uummannaq,GL
BIAR,AEY,Akureyri International Airport,Akureyri,IS
BIBA,,Bakki Airport,Bakki,IS
BIBD,BIU,Bildudalur Airport,Bildudalur,IS
BIBF,BGJ,Borgarfjörður eystri Airport,Borgarfjörður eystri,IS
BIBL,BLO,Blönduós Airport,Blönduós,IS
BIBR,,Búðardalur Airport,Búðardalur,IS
BIBV,BXV,Breiðdalsvík Airport,Breiðdalsvík,IS
BIDV,DJU,Djúpivogur Airport,Djúpivogur,IS
BIEG,EGS,Egilsstaðir Airport,Egilsstaðir,IS
BIFL,,Flúðir Airport,Flúðir,IS
BIFM,FAG,Fagurhólsmýri Airport,Fagurhólsmýri,IS
BIGF,GUU,Grundarfjörður Airport,Grundarfjörður,IS
BIGJ,GJR,Gjögur Airport,Gjögur,IS
BIGR,GRY,Grímsey Airport,Grímsey/Sandvík,IS
BIGS,,Grímsstaðir Airport,Grímsstaðir,IS
BIHE,,Herðubreiðarlindir Airport,Herðubreiðarlindir,IS
BIHI,,Hveravellir Airport,Hveravellir,IS
BIHK,HVK,Hólmavík Airport,Hólmavík,IS
BIHL,,Hella Airport,Hella,IS
BIHN,HFN,Hornafjörður Airport,Höfn,IS
BIHU,HZK,Húsavík Airport,Húsavík,IS
BIHZ,,Húsafell Airport,Húsafell,IS
BIIS,IFJ,Ísafjörður Airport,Ísafjörður,IS
BIKA,,Kaldármelar Airport,Kaldármelar,IS
BIKE,,Kerlingafjöll Airport,Kerlingafjöll,IS
BIKF,KEF,Keflavik International Airport,Reykjavík,IS
BIKL,,Kirkjubæjarklaustur Airport,Kirkjubæjarklaustur,IS
BIKP,OPA,Kópasker Airport,Kópasker,IS
BIKR,SAK,Sauðárkrókur Airport,Sauðárkrókur,IS
BIMK,,Múlakot Airport,Múlakot,IS
BIMM,,Melgerðismelar Airport,Melgerðismelar,IS
BIMS,,Tungubakkar Airport,Tungubakkar,IS
BIND,,Nýjidalur Airport,Nýjidalur,IS
BINF,NOR,Norðfjörður Airport,Norðfjörður,IS
BIRE,RHA,Reykhólar Airport,Reykhólar,IS
BIRF,OLI,Rif Airport,Rif,IS
BIRG,RFN,Raufarhöfn Airport,Raufarhöfn,IS
BIRK,RKV,Reykjavík Domestic Airport,Reykjavík,IS
BIRL,MVA,Mývatn Airport,Myvatn,IS
BIRS,,Reykjanes Airport,Reykjanes,IS
BISF,,Selfoss Airport,Selfoss,IS
BISI,SIJ,Siglufjörður Airport,Siglufjörður,IS
BISK,,Skógasandur Airport,Skógar,IS
BISR,,Stórikroppur Airport,Stórikroppur,IS
BISS,,Sandskeið Airport,Sandskeið,IS
BIST,SYK,Stykkishólmur Airport,Stykkishólmur,IS
BISV,,Skálavatn Airport,Skálavatn,IS
BITE,TEY,Þingeyri Airport,Þingeyri,IS
BITM,,Þórsmörk Airport,Þórsmörk,IS
BITN,THO,Þórshöfn Airport,Þórshöfn,IS
BIVI,,Vík Airport,Vík,IS
BIVM,VEY,Vestmannaeyjar Airport,Vestmannaeyjar,IS
BIVO,VPN,Vopnafjörður Airport,Vopnafjörður,IS
BKPR,PRN,Priština Adem Jashari International Airport,Prishtina,XK
SLCH,,Carol Marghata Airport,Carol Marghata Airport,BO
SJZA,CJZ,Pedro Vieira Moreira Airport,Cajazeiras,BR
SBVC,VDC,Glauber de Andrade Rocha Airport,Vitória da Conquista,BR
SSOM,,Embaixador Airport,Bela Vista de Goiás,BR
SDYG,,Fazenda Rosa do Deserto Airstrip,Ubaíra,BR
SSFW,,Fazenda Progresso Airport,Mucugê,BR
MYLM,,Cape Santa Maria Airstrip,Galliot Cay,BS
VTSY,BTZ,Betong International Airport,Betong,TH
FBMA,,Matsieng Aerodrome,Rasesa,BW
FBXX,,Xudum Airport,Xudum,BW
FBMM,,Makalamabedi Airport,Makalamabedi,BW
MZBG,BGK,Big Creek Airport,Big Creek,BZ
MZCK,CUK,Caye Caulker Airport,Caye Caulker,BZ
MZCP,CYC,Caye Chapel Airport,Caye Chapel,BZ
MZCZ,CZH,Corozal Airport,Corozal,BZ
MZPB,DGA,Dangriga Airport,Dangriga,BZ
MZSV,INB,Independence Airport,Independence,BZ
MZTH,ORZ,H.E Alfredo Martinez (Tower Hill) Airstrip,Orange Walk,BZ
MZPG,PND,Punta Gorda Airport,Punta Gorda,BZ
MZSP,SPR,John Greif II Airport,San Pedro,BZ
MZBE,TZA,Sir Barry Bowen Municipal Airport,Belize City,BZ
CBBC,ZEL,Bella Bella (Campbell Island) Airport,Bella Bella,CA
FZNS,,Wageni Airport,Beni,CD
LSYQ,,Croix de Coeur Altiport,Riddes,CH
LSYZ,,Altiport du Glacier de Tsanfleuron,Savièse,CH
PACJ,CKD,Crooked Creek Airport,Crooked Creek,US
SCAV,,Achibueno Airport,Linares,CL
SCAD,,Grupo Tamarena Airport,Talagante,CL
ZUBZ,BZX,Bazhong Enyang Airport,Bazhong,CN
ZGSG,HSC,Shaoguan Danxia Airport,Shaoguan,CN
ZSGS,JGS,Jinggangshan Airport,Ji'an,CN
ZLHN,HNG,Hainanzhou Gonghe Airport,Hainan (Gonghe),CN
ZSJX,JNH,Jiaxing Nanhu Airport,"Xiuzhou, Hangzhou",CN
ZBNJ,,Beijing Nanjiao Airport,Beijing,CN
ZUDR,DDR,Shigatse Tingri Airport,Xigazê (Dingri),CN
ZWTK,HQL,Tashikuergan Hongqilafu Airport,Tashikuergan,CN
ZSRJ,JRJ,Ganzhou Ruijin Airport,Ganzhou,CN
ZUPL,APJ,Ali Pulan Airport,Burang Town,CN
ZWZS,ZFL,Zhaosu Tianma Airport,Zhaosu,CN
ZBMV,,Dengkou General Aviation Airport,Bayannur,CN
ZSBO,BZJ,Bozhou Airport (under construction),Bozhou,CN
ZWHJ,HJB,Hejing Bayinbuluke Airport,Hejing,CN
ZWQT,JBK,Qitai Jiangbulake Airport,Qitai,CN
ZPZT,ZAT,Zhaotong Zhaoyang Airport,Zhaotong,CN
ZSLI,LIJ,Lishui Airport,Lishui (Liandu),CN
ZBNY,NAY,Beijing Nanyuan Airport,Beijing,CN
ZSBA,BFY,Bengbu Tenghu Airport,Bengbu,CN
ZBXJ,,[Duplicate] Beijing Xijiao Airport,Beijing,CN
LCRE,,Kingsfield Air Base,Dhekelia Sovereign Base Area,CY
CYAB,YAB,Arctic Bay Airport,Arctic Bay,CA
CYAC,YAC,Cat Lake Airport,Cat Lake,CA
CYAD,YAR,La Grande-3 Airport,La Grande-3,CA
CYAG,YAG,Fort Frances Municipal Airport,Fort Frances,CA
CYAH,YAH,La Grande-4 Airport,La Grande-4,CA
CYAL,YAL,Alert Bay Airport,Alert Bay,CA
CYAM,YAM,Sault Ste Marie Airport,Sault Ste Marie,CA
CYAQ,XKS,Kasabonika Airport,Kasabonika,CA
CYAS,YKG,Kangirsuk Airport,Kangirsuk,CA
CYAT,YAT,Attawapiskat Airport,Attawapiskat,CA
